Review	Liked
We really enjoyed the quick burger tonight. The steak was friendly too.	1
Absolutely bad waiter, never coming back.	0
amazing bread and a great atmosphere overall.	1
bland food and a poor atmosphere overall. The chef was rude too.	0
stale service and a poor atmosphere overall. The chef was tasteless too.	0
The steak here is friendly and worth every penny.	1
I loved the perfect waitress here.	1
Worst bread I've had in a long time, truly awful. The staff was awful too.	0
Such a fresh experience with the food.	1
Such a wonderful experience with the salad. The place was impressive too.	1
The menu here is generous and worth every penny.	1
What a unfriendly place, the waiter fell far short.	0
The place here is rude and not worth the money. The food was greasy too.	0
horrible soup and a poor atmosphere overall.	0
What a bland place, the menu fell far short.	0
The pizza here is cold and not worth the money.	0
What a cold place, the salad fell far short.	0
burnt dessert and a poor atmosphere overall.	0
Worst staff I've had in a long time, truly soggy. The waitress was underwhelming too.	0
Worst place I've had in a long time, truly mediocre.	0
wonderful chef and a great atmosphere overall. The coffee was perfect too.	1
We really regretted the burnt salad tonight.	0
Best soup I've had in a long time, truly perfect.	1
We really enjoyed the perfect staff tonight. The chef was impressive too.	1
Best salad I've had in a long time, truly friendly. The steak was excellent too.	1
Worst sushi I've had in a long time, truly disappointing.	0
What a stale place, the steak fell far short.	0
The burger was burnt.	0
Such a bland experience with the menu.	0
Such a charming experience with the sushi.	1
The sushi was bad. The pizza was horrible too.	0
What a greasy place, the pizza fell far short. The bread was soggy too.	0
Would not recommend, the dessert was mediocre. The chef was stale too.	0
Such a stale experience with the pasta. The menu was tasteless too.	0
Absolutely burnt place, never coming back. The sushi was stale too.	0
What a cozy place, the soup exceeded expectations. The place was tasty too.	1
Worst pasta I've had in a long time, truly overpriced. The food was burnt too.	0
The restaurant was perfect.	1
Absolutely greasy bread, never coming back.	0
The sushi was fantastic.	1
We really regretted the underwhelming sushi tonight. The service was stale too.	0
I hated the cold sushi here.	0
The staff was impressive. The soup was lovely too.	1
I loved the fresh staff here.	1
What a delightful place, the waitress exceeded expectations.	1
soggy pizza and a poor atmosphere overall.	0
What a lovely place, the chef exceeded expectations.	1
What a noisy place, the pasta fell far short. The place was disappointing too.	0
I hated the stale menu here. The waiter was burnt too.	0
The staff was excellent.	1
The salad here is flavorful and worth every penny. The pasta was lovely too.	1
Such a bland experience with the chef.	0
disappointing soup and a poor atmosphere overall. The pizza was slow too.	0
I loved the wonderful burger here. The pasta was delightful too.	1
We really enjoyed the lovely soup tonight. The pasta was friendly too.	1
Highly recommend, the burger was cozy.	1
The staff was unfriendly.	0
The steak here is unfriendly and not worth the money. The pizza was noisy too.	0
The soup here is terrible and not worth the money.	0
Would not recommend, the waiter was underwhelming.	0
What a rude place, the burger fell far short.	0
We really regretted the bland sushi tonight. The steak was tasteless too.	0
Best place I've had in a long time, truly excellent.	1
greasy sushi and a poor atmosphere overall.	0
We really regretted the awful bread tonight. The burger was tasteless too.	0
Would not recommend, the place was horrible.	0
We really enjoyed the charming food tonight.	1
Worst menu I've had in a long time, truly soggy.	0
The sushi was bad. The bread was slow too.	0
We really enjoyed the generous pasta tonight. The salad was fresh too.	1
Would not recommend, the waiter was greasy. The waitress was bland too.	0
We really regretted the cold pizza tonight.	0
The restaurant here is underwhelming and not worth the money.	0
We really regretted the mediocre burger tonight.	0
Would not recommend, the pizza was bad. The menu was unfriendly too.	0
I loved the wonderful coffee here. The waitress was outstanding too.	1
The coffee was perfect. The pasta was impressive too.	1
Absolutely flavorful soup, will come back again.	1
Worst sushi I've had in a long time, truly dirty.	0
We really regretted the horrible bread tonight.	0
What a overpriced place, the menu fell far short. The waitress was awful too.	0
flavorful steak and a great atmosphere overall. The restaurant was flavorful too.	1
Would not recommend, the service was slow.	0
We really regretted the cold steak tonight. The chef was terrible too.	0
Absolutely quick restaurant, will come back again. The burger was outstanding too.	1
I hated the horrible salad here.	0
Best bread I've had in a long time, truly friendly.	1
The sushi was charming.	1
Such a lovely experience with the pizza.	1
I hated the cold waitress here.	0
The pasta was terrible. The service was greasy too.	0
dirty dessert and a poor atmosphere overall. The coffee was mediocre too.	0
Absolutely rude soup, never coming back. The salad was horrible too.	0
We really regretted the overpriced salad tonight.	0
We really regretted the overpriced restaurant tonight.	0
The chef was stale.	0
Highly recommend, the chef was lovely. The chef was superb too.	1
greasy soup and a poor atmosphere overall.	0
Such a lovely experience with the chef.	1
Such a cold experience with the sushi. The dessert was noisy too.	0
The pasta was greasy.	0
The ambience was stale.	0
We really enjoyed the delightful service tonight.	1
What a fresh place, the pasta exceeded expectations.	1
What a tasty place, the pizza exceeded expectations. The restaurant was fantastic too.	1
We really enjoyed the lovely service tonight. The dessert was wonderful too.	1
Worst staff I've had in a long time, truly greasy.	0
Absolutely tasty waiter, will come back again.	1
Would not recommend, the dessert was soggy.	0
We really regretted the stale waiter tonight.	0
I loved the outstanding pasta here.	1
Such a wonderful experience with the staff.	1
Best ambience I've had in a long time, truly charming. The ambience was amazing too.	1
I loved the charming burger here.	1
impressive burger and a great atmosphere overall.	1
Such a fantastic experience with the dessert.	1
Best salad I've had in a long time, truly charming.	1
We really enjoyed the great pizza tonight.	1
I hated the mediocre pasta here. The service was greasy too.	0
I loved the fantastic sushi here. The bread was wonderful too.	1
Best ambience I've had in a long time, truly generous.	1
What a mediocre place, the bread fell far short.	0
I loved the quick restaurant here.	1
The salad here is mediocre and not worth the money. The dessert was disappointing too.	0
Such a bad experience with the chef.	0
Highly recommend, the place was superb.	1
awful dessert and a poor atmosphere overall. The place was bad too.	0
What a disappointing place, the staff fell far short.	0
Such a tasteless experience with the service.	0
I hated the disappointing soup here.	0
What a tasty place, the bread exceeded expectations. The pizza was outstanding too.	1
The restaurant was unfriendly. The restaurant was slow too.	0
Absolutely perfect bread, will come back again. The food was wonderful too.	1
Such a dirty experience with the food.	0
The food here is rude and not worth the money. The waitress was soggy too.	0
We really regretted the bland place tonight.	0
What a soggy place, the dessert fell far short. The coffee was overpriced too.	0
Highly recommend, the salad was delicious. The food was delicious too.	1
friendly sushi and a great atmosphere overall.	1
I hated the bad sushi here.	0
Absolutely unfriendly steak, never coming back. The burger was unfriendly too.	0
Best soup I've had in a long time, truly charming. The salad was cozy too.	1
Would not recommend, the pasta was bad.	0
Would not recommend, the place was cold.	0
We really regretted the mediocre menu tonight.	0
We really enjoyed the outstanding waitress tonight. The place was outstanding too.	1
The waitress here is outstanding and worth every penny. The restaurant was flavorful too.	1
I loved the great staff here. The place was superb too.	1
The restaurant was burnt.	0
Worst bread I've had in a long time, truly burnt.	0
superb waitress and a great atmosphere overall.	1
What a lovely place, the service exceeded expectations. The place was impressive too.	1
Absolutely tasty coffee, will come back again.	1
Best pizza I've had in a long time, truly fantastic.	1
The dessert here is cold and not worth the money.	0
What a charming place, the waitress exceeded expectations.	1
What a terrible place, the bread fell far short.	0
Absolutely amazing burger, will come back again. The pasta was outstanding too.	1
Absolutely terrible dessert, never coming back.	0
I loved the friendly soup here. The food was great too.	1
tasty coffee and a great atmosphere overall.	1
Best steak I've had in a long time, truly excellent. The steak was impressive too.	1
The salad was great. The salad was delicious too.	1
We really regretted the stale staff tonight.	0
We really enjoyed the delightful sushi tonight.	1
I hated the soggy menu here. The place was greasy too.	0
Would not recommend, the soup was underwhelming.	0
overpriced service and a poor atmosphere overall.	0
Such a terrible experience with the service. The menu was slow too.	0
Best burger I've had in a long time, truly lovely. The sushi was quick too.	1
slow waiter and a poor atmosphere overall.	0
Would not recommend, the pizza was soggy.	0
bland dessert and a poor atmosphere overall.	0
The service was quick.	1
What a outstanding place, the staff exceeded expectations.	1
The ambience here is quick and worth every penny. The food was outstanding too.	1
We really enjoyed the delightful waiter tonight.	1
bland dessert and a poor atmosphere overall.	0
What a mediocre place, the pizza fell far short.	0
The staff here is friendly and worth every penny.	1
Absolutely tasteless pizza, never coming back. The place was soggy too.	0
Worst coffee I've had in a long time, truly disappointing. The restaurant was overpriced too.	0
The place here is slow and not worth the money. The salad was slow too.	0
We really enjoyed the excellent staff tonight.	1
We really enjoyed the impressive soup tonight.	1
Worst soup I've had in a long time, truly unfriendly.	0
We really enjoyed the wonderful steak tonight. The chef was lovely too.	1
The burger was impressive. The staff was lovely too.	1
The chef was generous. The pasta was great too.	1
What a delightful place, the staff exceeded expectations.	1
Highly recommend, the chef was impressive.	1
What a bad place, the service fell far short.	0
We really enjoyed the delightful steak tonight.	1
I hated the bad service here.	0
Would not recommend, the steak was bland.	0
We really enjoyed the fresh service tonight.	1
What a soggy place, the coffee fell far short. The dessert was greasy too.	0
Worst ambience I've had in a long time, truly mediocre.	0
I hated the tasteless service here. The bread was horrible too.	0
What a perfect place, the pasta exceeded expectations.	1
What a great place, the steak exceeded expectations.	1
greasy dessert and a poor atmosphere overall. The staff was greasy too.	0
Best bread I've had in a long time, truly friendly.	1
great coffee and a great atmosphere overall.	1
The food here is superb and worth every penny. The menu was outstanding too.	1
Such a tasty experience with the sushi.	1
The restaurant here is bland and not worth the money.	0
Would not recommend, the place was soggy.	0
Best coffee I've had in a long time, truly delicious.	1
What a wonderful place, the salad exceeded expectations. The waiter was excellent too.	1
We really regretted the rude salad tonight. The dessert was overpriced too.	0
The chef here is unfriendly and not worth the money.	0
Highly recommend, the chef was fresh. The sushi was tasty too.	1
We really regretted the noisy dessert tonight.	0
Highly recommend, the pasta was friendly.	1
What a tasty place, the waiter exceeded expectations. The burger was delicious too.	1
Would not recommend, the sushi was dirty.	0
The coffee here is cold and not worth the money. The waiter was stale too.	0
Absolutely cozy chef, will come back again.	1
We really enjoyed the fresh staff tonight.	1
The food was mediocre. The dessert was overpriced too.	0
Best ambience I've had in a long time, truly great. The steak was fantastic too.	1
Absolutely slow steak, never coming back. The sushi was slow too.	0
What a generous place, the sushi exceeded expectations. The staff was amazing too.	1
Absolutely disappointing burger, never coming back.	0
soggy salad and a poor atmosphere overall. The pasta was overpriced too.	0
The pasta was cold. The salad was bad too.	0
We really enjoyed the fantastic staff tonight.	1
What a cozy place, the food exceeded expectations. The restaurant was lovely too.	1
What a terrible place, the waitress fell far short. The soup was mediocre too.	0
Highly recommend, the waiter was great.	1
Would not recommend, the staff was soggy.	0
The coffee was burnt. The sushi was awful too.	0
The ambience here is superb and worth every penny.	1
Best dessert I've had in a long time, truly great. The place was impressive too.	1
The steak was slow. The steak was rude too.	0
Absolutely flavorful chef, will come back again.	1
The staff was generous. The service was tasty too.	1
The service here is tasteless and not worth the money.	0
The bread here is underwhelming and not worth the money. The menu was greasy too.	0
Best dessert I've had in a long time, truly delicious. The dessert was quick too.	1
bad ambience and a poor atmosphere overall. The waiter was underwhelming too.	0
Would not recommend, the sushi was dirty. The staff was mediocre too.	0
What a quick place, the staff exceeded expectations.	1
The waiter here is burnt and not worth the money. The staff was tasteless too.	0
We really regretted the greasy pasta tonight.	0
We really enjoyed the excellent waitress tonight. The service was superb too.	1
The salad here is quick and worth every penny.	1
bland service and a poor atmosphere overall. The waiter was terrible too.	0
We really regretted the unfriendly restaurant tonight. The staff was overpriced too.	0
superb dessert and a great atmosphere overall.	1
Absolutely delightful service, will come back again.	1
We really enjoyed the superb dessert tonight.	1
Highly recommend, the soup was wonderful. The steak was perfect too.	1
The pizza was cold.	0
cozy sushi and a great atmosphere overall.	1
The place here is perfect and worth every penny.	1
The menu here is unfriendly and not worth the money.	0
I loved the tasty sushi here. The staff was generous too.	1
I hated the bad waiter here.	0
I loved the superb steak here.	1
Absolutely lovely pasta, will come back again.	1
Highly recommend, the waiter was superb. The menu was wonderful too.	1
The pizza was underwhelming. The soup was dirty too.	0
Absolutely burnt chef, never coming back.	0
The staff here is great and worth every penny. The sushi was cozy too.	1
What a mediocre place, the waitress fell far short. The steak was bland too.	0
Would not recommend, the chef was bad. The bread was noisy too.	0
slow waiter and a poor atmosphere overall.	0
Would not recommend, the service was cold. The waiter was rude too.	0
Worst steak I've had in a long time, truly overpriced.	0
I hated the greasy coffee here. The bread was stale too.	0
What a lovely place, the restaurant exceeded expectations.	1
What a excellent place, the coffee exceeded expectations.	1
What a rude place, the restaurant fell far short.	0
What a outstanding place, the salad exceeded expectations. The food was great too.	1
The service here is impressive and worth every penny.	1
What a quick place, the soup exceeded expectations.	1
The sushi here is charming and worth every penny.	1
Such a underwhelming experience with the pasta.	0
We really enjoyed the lovely ambience tonight. The service was excellent too.	1
We really enjoyed the quick chef tonight.	1
Absolutely unfriendly steak, never coming back. The steak was dirty too.	0
Worst ambience I've had in a long time, truly slow.	0
Such a outstanding experience with the place.	1
Such a generous experience with the burger. The service was lovely too.	1
delightful ambience and a great atmosphere overall. The waiter was outstanding too.	1
Such a outstanding experience with the soup.	1
We really enjoyed the cozy sushi tonight.	1
The pasta was flavorful. The ambience was cozy too.	1
Such a overpriced experience with the chef.	0
The service here is delicious and worth every penny.	1
Highly recommend, the sushi was lovely. The place was quick too.	1
Worst restaurant I've had in a long time, truly stale.	0
awful dessert and a poor atmosphere overall. The bread was disappointing too.	0
The dessert here is burnt and not worth the money. The coffee was bad too.	0
What a stale place, the bread fell far short.	0
I loved the wonderful place here. The steak was charming too.	1
Such a wonderful experience with the dessert.	1
The ambience was cozy. The restaurant was outstanding too.	1
We really enjoyed the cozy sushi tonight. The coffee was wonderful too.	1
Best steak I've had in a long time, truly delightful. The salad was lovely too.	1
Highly recommend, the soup was outstanding.	1
What a underwhelming place, the bread fell far short. The food was dirty too.	0
fantastic steak and a great atmosphere overall.	1
We really regretted the unfriendly food tonight. The soup was noisy too.	0
What a awful place, the pizza fell far short.	0
delightful coffee and a great atmosphere overall. The pizza was delicious too.	1
Such a cold experience with the soup. The steak was mediocre too.	0
Such a quick experience with the restaurant.	1
The salad was underwhelming.	0
Highly recommend, the coffee was tasty. The sushi was cozy too.	1
Absolutely tasteless ambience, never coming back.	0
Highly recommend, the bread was outstanding. The burger was delightful too.	1
Such a tasty experience with the sushi. The pasta was fresh too.	1
Such a lovely experience with the pasta.	1
We really enjoyed the outstanding sushi tonight. The burger was lovely too.	1
Highly recommend, the place was impressive. The ambience was superb too.	1
The restaurant was greasy. The staff was dirty too.	0
We really regretted the stale chef tonight. The bread was stale too.	0
Absolutely stale bread, never coming back. The soup was overpriced too.	0
Highly recommend, the pizza was delicious. The pizza was delicious too.	1
Worst place I've had in a long time, truly mediocre.	0
The place was wonderful.	1
We really enjoyed the quick waiter tonight.	1
Worst menu I've had in a long time, truly greasy. The service was bland too.	0
Would not recommend, the soup was overpriced.	0
excellent service and a great atmosphere overall.	1
awful waiter and a poor atmosphere overall.	0
The waiter was lovely. The soup was delightful too.	1
The place here is outstanding and worth every penny.	1
We really enjoyed the cozy bread tonight.	1
We really enjoyed the cozy restaurant tonight. The place was outstanding too.	1
The waiter here is generous and worth every penny.	1
The food here is tasteless and not worth the money.	0
What a rude place, the menu fell far short.	0
Highly recommend, the ambience was quick. The ambience was fantastic too.	1
We really enjoyed the wonderful waiter tonight. The pizza was amazing too.	1
Such a horrible experience with the burger.	0
The burger here is tasteless and not worth the money.	0
The soup here is amazing and worth every penny.	1
I hated the awful pizza here.	0
Highly recommend, the waiter was friendly.	1
The pasta here is cold and not worth the money. The pizza was overpriced too.	0
Absolutely flavorful restaurant, will come back again.	1
dirty salad and a poor atmosphere overall.	0
Such a charming experience with the sushi.	1
Would not recommend, the salad was bland.	0
What a bland place, the dessert fell far short. The bread was soggy too.	0
Highly recommend, the menu was impressive. The steak was cozy too.	1
Such a cold experience with the chef.	0
Highly recommend, the sushi was great.	1
Absolutely bad service, never coming back.	0
The chef was impressive.	1
terrible pasta and a poor atmosphere overall. The food was disappointing too.	0
The soup was great.	1
The staff was burnt.	0
The staff was flavorful. The waiter was wonderful too.	1
dirty waitress and a poor atmosphere overall.	0
I loved the friendly ambience here.	1
Best bread I've had in a long time, truly wonderful. The bread was friendly too.	1
Such a wonderful experience with the coffee.	1
We really regretted the greasy food tonight.	0
Highly recommend, the bread was quick. The pizza was fresh too.	1
Absolutely dirty chef, never coming back. The place was awful too.	0
The waitress was delightful. The staff was fantastic too.	1
We really regretted the awful salad tonight.	0
The service was fresh.	1
Such a burnt experience with the pizza.	0
Would not recommend, the service was slow.	0
Best pizza I've had in a long time, truly impressive.	1
The steak here is overpriced and not worth the money.	0
overpriced coffee and a poor atmosphere overall. The service was burnt too.	0
excellent soup and a great atmosphere overall.	1
dirty service and a poor atmosphere overall.	0
mediocre steak and a poor atmosphere overall. The ambience was rude too.	0
Such a underwhelming experience with the bread.	0
We really enjoyed the wonderful pasta tonight.	1
mediocre bread and a poor atmosphere overall.	0
Such a friendly experience with the restaurant. The steak was great too.	1
I hated the dirty chef here.	0
The menu here is awful and not worth the money. The salad was unfriendly too.	0
Such a bland experience with the service.	0
Such a charming experience with the soup.	1
The steak was greasy. The menu was cold too.	0
What a overpriced place, the sushi fell far short.	0
Highly recommend, the ambience was fresh. The pasta was friendly too.	1
Worst chef I've had in a long time, truly burnt. The dessert was soggy too.	0
I loved the generous sushi here.	1
Such a outstanding experience with the sushi. The waitress was delicious too.	1
Absolutely overpriced soup, never coming back. The bread was noisy too.	0
The soup here is quick and worth every penny. The steak was fresh too.	1
Such a noisy experience with the ambience.	0
We really enjoyed the perfect steak tonight.	1
Absolutely generous sushi, will come back again.	1
Absolutely rude dessert, never coming back.	0
Highly recommend, the sushi was excellent.	1
The service was cozy.	1
The staff was delicious.	1
Absolutely great pizza, will come back again. The coffee was generous too.	1
What a delicious place, the dessert exceeded expectations.	1
We really regretted the underwhelming salad tonight. The bread was burnt too.	0
The waitress was amazing.	1
The burger here is burnt and not worth the money. The waitress was rude too.	0
Highly recommend, the place was fantastic. The menu was delightful too.	1
Worst coffee I've had in a long time, truly stale. The ambience was bland too.	0
We really regretted the horrible dessert tonight.	0
I loved the lovely pizza here.	1
great service and a great atmosphere overall. The bread was flavorful too.	1
Absolutely amazing service, will come back again. The waitress was outstanding too.	1
Would not recommend, the soup was cold.	0
What a tasty place, the pizza exceeded expectations.	1
The service here is bland and not worth the money.	0
Absolutely awful soup, never coming back.	0
Such a terrible experience with the steak.	0
The ambience here is great and worth every penny. The pizza was impressive too.	1
Best ambience I've had in a long time, truly charming. The restaurant was great too.	1
The coffee was dirty. The pizza was bland too.	0
What a unfriendly place, the steak fell far short.	0
The ambience was outstanding.	1
Such a underwhelming experience with the chef. The ambience was mediocre too.	0
impressive waiter and a great atmosphere overall. The salad was lovely too.	1
I hated the bland pizza here. The ambience was slow too.	0
Best ambience I've had in a long time, truly outstanding. The food was lovely too.	1
The chef here is dirty and not worth the money. The staff was rude too.	0
Highly recommend, the waitress was generous.	1
The waitress was cold. The bread was bland too.	0
Best salad I've had in a long time, truly delightful.	1
lovely food and a great atmosphere overall. The staff was charming too.	1
Would not recommend, the pizza was noisy. The ambience was rude too.	0
The restaurant here is stale and not worth the money. The restaurant was bland too.	0
The waiter here is quick and worth every penny.	1
Worst sushi I've had in a long time, truly bland. The pizza was underwhelming too.	0
Such a delightful experience with the salad.	1
The restaurant was greasy.	0
delightful steak and a great atmosphere overall.	1
Best steak I've had in a long time, truly generous.	1
The salad here is wonderful and worth every penny. The menu was flavorful too.	1
excellent steak and a great atmosphere overall.	1
What a flavorful place, the pasta exceeded expectations.	1
The steak here is friendly and worth every penny.	1
I hated the dirty ambience here.	0
Would not recommend, the menu was noisy. The bread was terrible too.	0
We really regretted the disappointing chef tonight.	0
We really enjoyed the quick staff tonight. The pasta was fresh too.	1
wonderful burger and a great atmosphere overall.	1
What a generous place, the staff exceeded expectations.	1
Highly recommend, the ambience was charming.	1
The waitress was burnt.	0
What a burnt place, the dessert fell far short.	0
Such a fantastic experience with the staff.	1
What a rude place, the dessert fell far short. The ambience was tasteless too.	0
The waitress was cold. The pizza was soggy too.	0
What a charming place, the coffee exceeded expectations.	1
Worst pizza I've had in a long time, truly bad. The soup was soggy too.	0
The restaurant was superb.	1
I hated the mediocre pasta here. The restaurant was dirty too.	0
We really enjoyed the outstanding pasta tonight.	1
Best coffee I've had in a long time, truly flavorful.	1
Best chef I've had in a long time, truly generous. The service was fantastic too.	1
I loved the outstanding food here.	1
Would not recommend, the waiter was overpriced. The waiter was tasteless too.	0
We really enjoyed the quick bread tonight. The ambience was excellent too.	1
quick waiter and a great atmosphere overall. The salad was tasty too.	1
impressive chef and a great atmosphere overall. The menu was tasty too.	1
What a bland place, the burger fell far short. The bread was rude too.	0
Such a outstanding experience with the dessert.	1
Would not recommend, the burger was underwhelming.	0
delightful steak and a great atmosphere overall.	1
Worst soup I've had in a long time, truly cold. The chef was unfriendly too.	0
What a greasy place, the waiter fell far short.	0
I loved the outstanding restaurant here. The place was excellent too.	1
Would not recommend, the dessert was slow. The salad was slow too.	0
friendly soup and a great atmosphere overall. The bread was excellent too.	1
We really enjoyed the excellent bread tonight. The waiter was outstanding too.	1
The chef was delightful.	1
Absolutely underwhelming food, never coming back. The ambience was burnt too.	0
underwhelming coffee and a poor atmosphere overall.	0
We really enjoyed the generous waitress tonight. The soup was amazing too.	1
The pizza was lovely. The bread was lovely too.	1
What a bad place, the waiter fell far short.	0
Highly recommend, the sushi was charming. The place was perfect too.	1
Highly recommend, the bread was superb.	1
Highly recommend, the service was generous. The waitress was fantastic too.	1
The pizza was greasy.	0
We really regretted the bland dessert tonight.	0
Such a overpriced experience with the place.	0
What a superb place, the soup exceeded expectations.	1
Absolutely delightful waiter, will come back again.	1
What a delicious place, the menu exceeded expectations. The burger was delightful too.	1
Worst bread I've had in a long time, truly rude.	0
What a lovely place, the pasta exceeded expectations. The coffee was fantastic too.	1
The restaurant was quick.	1
Such a wonderful experience with the restaurant. The steak was fresh too.	1
Absolutely flavorful ambience, will come back again.	1
mediocre burger and a poor atmosphere overall.	0
Would not recommend, the staff was horrible.	0
We really enjoyed the generous dessert tonight. The food was great too.	1
I hated the dirty chef here.	0
disappointing ambience and a poor atmosphere overall.	0
Best sushi I've had in a long time, truly perfect.	1
What a charming place, the steak exceeded expectations. The sushi was outstanding too.	1
I hated the awful service here.	0
I loved the amazing chef here.	1
We really regretted the bad waiter tonight. The waitress was disappointing too.	0
Absolutely lovely restaurant, will come back again.	1
Worst burger I've had in a long time, truly bland. The dessert was rude too.	0
The service here is friendly and worth every penny.	1
I hated the mediocre pizza here.	0
We really regretted the disappointing food tonight. The soup was overpriced too.	0
The coffee was bad. The steak was cold too.	0
We really enjoyed the wonderful waitress tonight. The ambience was great too.	1
Worst place I've had in a long time, truly cold. The pasta was slow too.	0
Absolutely slow ambience, never coming back. The soup was terrible too.	0
We really enjoyed the excellent salad tonight. The menu was wonderful too.	1
We really enjoyed the delightful waitress tonight.	1
Absolutely cold staff, never coming back.	0
Worst soup I've had in a long time, truly horrible.	0
Such a wonderful experience with the steak. The staff was fresh too.	1
What a delightful place, the bread exceeded expectations.	1
The pasta here is amazing and worth every penny. The salad was cozy too.	1
The menu here is friendly and worth every penny.	1
